--- Extraction Run Started: 2026-07-16 11:22:08.876418 ---
Input File: linkedin_fresher_data_analyst_jobs_merged.csv (913 rows)
Target Column: Required Skills

Row 1: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-at-pwc-india-4291066596 | No valid email addresses found in text
Row 36: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/team-leader-quality-analyst-at-metlife-4430481713 | No valid email addresses found in text
Row 37: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412412318 | No valid email addresses found in text
Row 38: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-appian-developer-at-appbay-technologies-4410172887 | No valid email addresses found in text
Row 39: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/speech-ai-evaluation-specialist%C2%A0-at-rws-group-4431767782 | No valid email addresses found in text
Row 40: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411232359 | No valid email addresses found in text
Row 41: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412413219 | No valid email addresses found in text
Row 42: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/recruiting-senior-analyst-at-accenture-in-india-4346702156 | No valid email addresses found in text
Row 43: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4377404484 | No valid email addresses found in text
Row 44: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4432472433 | No valid email addresses found in text
Row 45: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411230345 | No valid email addresses found in text
Row 46: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412407410 | No valid email addresses found in text
Row 47: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412194985 | No valid email addresses found in text
Row 48: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-listenfirst-4437037953 | No valid email addresses found in text
Row 49: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412408361 | No valid email addresses found in text
Row 50: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/lead-sr-mlops-engineer-domino-data-lab-at-epam-systems-4431586213 | No valid email addresses found in text
Row 51: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4432476318 | No valid email addresses found in text
Row 52: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412401487 | No valid email addresses found in text
Row 53: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412401488 | No valid email addresses found in text
Row 54: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412413218 | No valid email addresses found in text
Row 55: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412413217 | No valid email addresses found in text
Row 56: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412410346 | No valid email addresses found in text
Row 57: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412410341 | No valid email addresses found in text
Row 58: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412409381 | No valid email addresses found in text
Row 59: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412409377 | No valid email addresses found in text
Row 60: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412408360 | No valid email addresses found in text
Row 61: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411216543 | No valid email addresses found in text
Row 62: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411215497 | No valid email addresses found in text
Row 63: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411215496 | No valid email addresses found in text
Row 64: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411214518 | No valid email addresses found in text
Row 65: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411210871 | No valid email addresses found in text
Row 66: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4410900632 | No valid email addresses found in text
Row 67: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/software-development-engineer-l2-at-truworth-wellness-4428480918 | No valid email addresses found in text
Row 68: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4377193942 | No valid email addresses found in text
Row 69: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4423087050 | No valid email addresses found in text
Row 70: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-rajasthan-patrika-pvt-ltd-4431918385 | No valid email addresses found in text
Row 71: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/forward-deployed-engineer-at-accenture-in-india-4430757785 | No valid email addresses found in text
Row 72: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/forward-deployed-engineer-at-accenture-in-india-4430775065 | No valid email addresses found in text
Row 73: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408581542 | No valid email addresses found in text
Row 74: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/forward-deployed-engineer-at-accenture-in-india-4430758833 | No valid email addresses found in text
Row 75: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/forward-deployed-engineer-at-accenture-in-india-4430758828 | No valid email addresses found in text
Row 76: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4429729748 | No valid email addresses found in text
Row 77: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/forward-deployed-engineer-at-accenture-in-india-4430760731 | No valid email addresses found in text
Row 78: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4410908374 | No valid email addresses found in text
Row 79: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408700122 | No valid email addresses found in text
Row 80: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/forward-deployed-engineer-at-accenture-in-india-4430761764 | No valid email addresses found in text
Row 81: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-fresher-at-addweb-solution-private-limited-4426611284 | No valid email addresses found in text
Row 82: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-strategy-new-business-at-akd-realty-4436063985 | No valid email addresses found in text
Row 83: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-viralchilly-create-grow-learn-4437796041 | No valid email addresses found in text
Row 84: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-lead-business-analyst-pc-insurance-at-epam-systems-4427831915 | No valid email addresses found in text
Row 85: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-aelum-consulting-servicenow-premier-partner-4419264460 | No valid email addresses found in text
Row 86: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-interlock-analyst-at-accenture-in-india-4430721282 | No valid email addresses found in text
Row 87: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/procure-to-pay-operations-senior-analyst-at-accenture-in-india-4357474823 | No valid email addresses found in text
Row 88: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4410911316 | No valid email addresses found in text
Row 89: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4380535161 | No valid email addresses found in text
Row 90: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/mobilization-senior-analyst-at-accenture-in-india-4434718837 | No valid email addresses found in text
Row 91: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/delivery-operations-senior-analyst-at-accenture-in-india-4397381122 | No valid email addresses found in text
Row 92: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408584430 | No valid email addresses found in text
Row 93: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/delivery-operations-senior-analyst-at-accenture-in-india-4405463326 | No valid email addresses found in text
Row 94: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/delivery-operations-senior-analyst-at-accenture-in-india-4344232467 | No valid email addresses found in text
Row 95: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408598210 | No valid email addresses found in text
Row 96: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408585389 | No valid email addresses found in text
Row 97: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408581543 | No valid email addresses found in text
Row 98: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/delivery-operations-senior-analyst-at-accenture-in-india-4344232470 | No valid email addresses found in text
Row 99: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/delivery-operations-senior-analyst-at-accenture-in-india-4344093200 | No valid email addresses found in text
Row 100: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/delivery-operations-senior-analyst-at-accenture-in-india-4432411556 | No valid email addresses found in text
Row 101: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408593273 | No valid email addresses found in text
Row 102: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408588313 | No valid email addresses found in text
Row 103: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408585393 | No valid email addresses found in text
Row 104: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408585392 | No valid email addresses found in text
Row 105: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408522472 | No valid email addresses found in text
Row 106: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4408512598 | No valid email addresses found in text
Row 107: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4429741338 | No valid email addresses found in text
Row 108: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4429733679 | No valid email addresses found in text
Row 109: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/procure-to-pay-operations-senior-analyst-at-accenture-in-india-4379986460 | No valid email addresses found in text
Row 110: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4429725826 | No valid email addresses found in text
Row 111: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4429723843 | No valid email addresses found in text
Row 112: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4429744000 | No valid email addresses found in text
Row 113: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4429732685 | No valid email addresses found in text
Row 114: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/order-to-cash-operations-senior-analyst-at-accenture-in-india-4429726752 | No valid email addresses found in text
Row 115: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/procure-to-pay-operations-senior-analyst-at-accenture-in-india-4435837804 | No valid email addresses found in text
Row 116: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/procure-to-pay-operations-senior-analyst-at-accenture-in-india-4435833896 | No valid email addresses found in text
Row 117: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/erpnext-developer-at-%E0%A4%B8%E0%A4%BE%E0%A4%A6%E0%A4%BE-saadaa-4416746002 | No valid email addresses found in text
Row 118: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/quality-analyst-bengali-at-mobzway-technologies-4326855357 | No valid email addresses found in text
Row 119: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412403467 | No valid email addresses found in text
Row 120: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412402442 | No valid email addresses found in text
Row 121: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412400506 | No valid email addresses found in text
Row 122: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412198732 | No valid email addresses found in text
Row 123: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412198731 | No valid email addresses found in text
Row 124: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4410916184 | No valid email addresses found in text
Row 125: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4410907436 | No valid email addresses found in text
Row 126: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/procure-to-pay-operations-senior-analyst-at-accenture-in-india-4408586405 | No valid email addresses found in text
Row 127: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4423071386 | No valid email addresses found in text
Row 128: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/implementation-engineer-at-robomq-4403556966 | No valid email addresses found in text
Row 129: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/quality-analyst-quality-service-lumen-at-bill-gosling-outsourcing-4414736964 | No valid email addresses found in text
Row 130: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/dot-net-developer-at-e-connect-solutions-pvt-ltd-4414434986 | No valid email addresses found in text
Row 131: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4339267776 | No valid email addresses found in text
Row 132: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/product-manager-at-izoologic-4434506339 | No valid email addresses found in text
Row 133: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4335383223 | No valid email addresses found in text
Row 134: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4335373137 | No valid email addresses found in text
Row 135: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/social-media-manager-at-city-palace-museum-jaipur-4435562649 | No valid email addresses found in text
Row 136: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/project-manager-%E2%80%94-data-analytics-jaipur-india-at-thoughtswin-4432936296 | No valid email addresses found in text
Row 137: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-head-%E2%80%93-digital-operations-management-at-zealant-consulting-group-4435209662 | No valid email addresses found in text
Row 138: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-data-engineer-at-khushi-baby-4435399303 | No valid email addresses found in text
Row 139: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/sen-data-modller-eng-5-yrs-at-orbion-infotech-4408993271 | No valid email addresses found in text
Row 140: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/consultant-salesforce-at-mtx-group-4422278505 | No valid email addresses found in text
Row 141: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/professor-associate-professor-assistant-professor-%E2%80%93-data-science-at-nims-university-4435097399 | No valid email addresses found in text
Row 142: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/head-of-international-business-development-at-polaris-smart-metering-4433659200 | No valid email addresses found in text
Row 143: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/e-commerce-product-analytics-specialist-at-clickforge-4435551152 | No valid email addresses found in text
Row 144: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/e-commerce-operations-manager-at-superkicks-4426076034 | No valid email addresses found in text
Row 145: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/financial-planning-analysis-analyst-at-clickforge-4406923488 | No valid email addresses found in text
Row 146: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/ppc-intern-at-viralchilly-create-grow-learn-4438206742 | No valid email addresses found in text
Row 147: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/performance-marketing-executive-at-biz4group-llc-4425236787 | No valid email addresses found in text
Row 148: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/advertising-specialist-ppc-at-the-marketplace-guru-4436525656 | No valid email addresses found in text
Row 149: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/db-is-operations-india-operations-manager-avp-at-deutsche-bank-4435848558 | No valid email addresses found in text
Row 150: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-data-engineer-at-khushi-baby-4432315618 | No valid email addresses found in text
Row 151: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/head-of-estimation-digital-construction-at-zealant-consulting-group-4433461223 | No valid email addresses found in text
Row 152: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/product-engineer-remote-full-time-as263-at-smart-working-4432191360 | No valid email addresses found in text
